token,token_lower,chapter_idx,count
i,i,0,1
eh,eh,0,2
bien,bien,0,2
mon,mon,0,5
prince,prince,0,2
gênes,gênes,0,1
et,et,0,7
lucques,lucques,0,1
ne,ne,0,5
sont,sont,0,2
plus,plus,0,4
que,que,0,10
des,des,0,4
apanages,apanages,0,1
поместья,поместья,0,1
de,de,0,14
la,la,0,11
famille,famille,0,3
buonaparte,buonaparte,0,2
non,non,0,1
je,je,0,11
vous,vous,0,18
préviens,préviens,0,1
si,si,0,4
me,me,0,2
dites,dites,0,3
pas,pas,0,4
nous,nous,0,3
avons,avons,0,1
guerre,guerre,0,1
permettez,permettez,0,1
encore,encore,0,1
pallier,pallier,0,1
toutes,toutes,0,3
les,les,0,7
infamies,infamies,0,1
atrocités,atrocités,0,1
cet,cet,0,1
antichrist,antichrist,0,1
ma,ma,0,1
parole,parole,0,1
j,j,0,1
y,y,0,1
crois,crois,0,2
connais,connais,0,1
n,n,0,5
êtes,êtes,0,2
ami,ami,0,1
мой,мой,0,2
верный,верный,0,2
раб,раб,0,3
comme,comme,0,4
1,1,0,1
ну,ну,0,1
здравствуйте,здравствуйте,0,2
vois,vois,0,1
fais,fais,0,1
peur,peur,0,1
2,2,0,1
садитесь,садитесь,0,1
и,и,0,65
рассказывайте,рассказывайте,0,1
так,так,0,6
говорила,говорила,0,2
в,в,0,25
июле,июле,0,1
1805,1805,0,1
года,года,0,1
известная,известная,0,1
анна,анна,0,12
павловна,павловна,0,12
шерер,шерер,0,2
фрейлина,фрейлина,0,1
приближенная,приближенная,0,1
императрицы,императрицы,0,1
марии,марии,0,1
феодоровны,феодоровны,0,1
встречая,встречая,0,1
важного,важного,0,1
чиновного,чиновного,0,1
князя,князя,0,2
василия,василия,0,1
первого,первого,0,1
приехавшего,приехавшего,0,1
на,на,0,11
ее,ее,0,12
вечер,вечер,0,2
кашляла,кашляла,0,1
несколько,несколько,0,1
дней,дней,0,1
у,у,0,9
нее,нее,0,2
был,был,0,3
грипп,грипп,0,2
как,как,0,13
она,она,0,19
тогда,тогда,0,2
новое,новое,0,1
слово,слово,0,1
употреблявшееся,употреблявшееся,0,1
только,только,0,4
редкими,редкими,0,1
записочках,записочках,0,1
разосланных,разосланных,0,1
утром,утром,0,1
с,с,0,13
красным,красным,0,1
лакеем,лакеем,0,1
было,было,0,2
написано,написано,0,1
без,без,0,1
различия,различия,0,1
во,во,0,2
всех,всех,0,2
avez,avez,0,1
rien,rien,0,1
mieux,mieux,0,1
à,à,0,9
faire,faire,0,1
m,m,0,2
le,le,0,5
comte,comte,0,1
или,или,0,2
perspective,perspective,0,1
passer,passer,0,1
soirée,soirée,0,1
chez,chez,0,2
une,une,0,3
pauvre,pauvre,0,3
malade,malade,0,1
effraye,effraye,0,1
trop,trop,0,1
serai,serai,0,1
charmée,charmée,0,1
voir,voir,0,1
moi,moi,0,3
entre,entre,0,1
7,7,0,2
10,10,0,2
heures,heures,0,1
annette,annette,0,2
scherer,scherer,0,1
3,3,0,1
dieu,dieu,0,1
quelle,quelle,0,1
virulente,virulente,0,1
sortie,sortie,0,1
4,4,0,1
отвечал,отвечал,0,3
нисколько,нисколько,0,1
не,не,0,33
смутясь,смутясь,0,1
такою,такою,0,1
встречей,встречей,0,1
вошедший,вошедший,0,1
князь,князь,0,16
придворном,придворном,0,1
шитом,шитом,0,1
мундире,мундире,0,1
чулках,чулках,0,1
башмаках,башмаках,0,1
звездах,звездах,0,1
светлым,светлым,0,1
выражением,выражением,0,1
плоского,плоского,0,1
лица,лица,0,1
он,он,0,21
говорил,говорил,0,2
том,том,0,2
изысканном,изысканном,0,1
французском,французском,0,1
языке,языке,0,1
котором,котором,0,2
говорили,говорили,0,2
но,но,0,5
думали,думали,0,2
наши,наши,0,1
деды,деды,0,1
теми,теми,0,2
тихими,тихими,0,1
покровительственными,покровительственными,0,1
интонациями,интонациями,0,1
которые,которые,0,2
свойственны,свойственны,0,1
состаревшемуcя,состаревшемуcя,0,1
свете,свете,0,1
при,при,0,3
дворе,дворе,0,1
значительному,значительному,0,1
человеку,человеку,0,1
подошел,подошел,0,1
к,к,0,4
анне,анне,0,1
павловне,павловне,0,1
поцеловал,поцеловал,0,2
руку,руку,0,3
подставив,подставив,0,1
ей,ей,0,3
свою,свою,0,3
надушенную,надушенную,0,1
сияющую,сияющую,0,1
лысину,лысину,0,1
покойно,покойно,0,1
уселся,уселся,0,1
диване,диване,0,1
avant,avant,0,1
tout,tout,0,4
comment,comment,0,1
allez,allez,0,1
chère,chère,0,2
amie,amie,0,1
5,5,0,1
успокойте,успокойте,0,1
меня,меня,0,6
сказал,сказал,0,11
изменяя,изменяя,0,1
голоса,голоса,0,1
тоном,тоном,0,3
из,из,0,4
за,за,0,7
приличия,приличия,0,1
участия,участия,0,1
просвечивало,просвечивало,0,1
равнодушие,равнодушие,0,1
даже,даже,0,2
насмешка,насмешка,0,1
можно,можно,0,2
быть,быть,0,5
здоровой,здоровой,0,1
когда,когда,0,3
нравственно,нравственно,0,1
страдаешь,страдаешь,0,1
разве,разве,0,1
имея,имея,0,1
чувство,чувство,0,1
оставаться,оставаться,0,1
спокойною,спокойною,0,1
наше,наше,0,1
время,время,0,3
сказала,сказала,0,7
вы,вы,0,13
весь,весь,0,1
надеюсь,надеюсь,0,1
а,а,0,4
праздник,праздник,0,3
английского,английского,0,1
посланника,посланника,0,1
нынче,нынче,0,4
середа,середа,0,1
мне,мне,0,6
надо,надо,0,1
показаться,показаться,0,1
там,там,0,1
дочь,дочь,0,2
заедет,заедет,0,1
мной,мной,0,1
повезет,повезет,0,1
я,я,0,18
думала,думала,0,1
что,что,0,17
нынешний,нынешний,0,1
отменен,отменен,0,1
avoue,avoue,0,1
ces,ces,0,2
fêtes,fêtes,0,1
tous,tous,0,1
feux,feux,0,1
d,d,0,3
artifice,artifice,0,1
commencent,commencent,0,1
devenir,devenir,0,1
insipides,insipides,0,1
6,6,0,1
ежели,ежели,0,3
бы,бы,0,6
знали,знали,0,1
этого,этого,0,2
хотите,хотите,0,1
отменили,отменили,0,1
по,по,0,2
привычке,привычке,0,1
заведенные,заведенные,0,1
часы,часы,0,1
говоря,говоря,0,1
вещи,вещи,0,1
которым,которым,0,1
хотел,хотел,0,1
чтобы,чтобы,0,3
верили,верили,0,1
tourmentez,tourmentez,0,1
qu,qu,0,4
a,a,0,6
t,t,0,2
on,on,0,4
décidé,décidé,0,3
par,par,0,3
rapport,rapport,0,1
dépêche,dépêche,0,1
novosilzoff,novosilzoff,0,1
savez,savez,0,1
вам,вам,0,2
сказать,сказать,0,1
холодным,холодным,0,1
скучающим,скучающим,0,1
brûlé,brûlé,0,1
ses,ses,0,1
vaisseaux,vaisseaux,0,1
sommes,sommes,0,1
en,en,0,1
train,train,0,1
brûler,brûler,0,1
notres,notres,0,1
8,8,0,1
василий,василий,0,4
всегда,всегда,0,1
лениво,лениво,0,1
актер,актер,0,1
говорит,говорит,0,1
роль,роль,0,2
старой,старой,0,1
пиесы,пиесы,0,1
напротив,напротив,0,1
несмотря,несмотря,0,1
свои,свои,0,1
сорок,сорок,0,1
лет,лет,0,2
была,была,0,1
преисполнена,преисполнена,0,1
оживления,оживления,0,1
порывов,порывов,0,1
энтузиасткой,энтузиасткой,0,2
сделалось,сделалось,0,1
общественным,общественным,0,1
положением,положением,0,1
иногда,иногда,0,2
того,того,0,3
хотелось,хотелось,0,1
обмануть,обмануть,0,1
ожиданий,ожиданий,0,1
людей,людей,0,2
знавших,знавших,0,1
делалась,делалась,0,1
сдержанная,сдержанная,0,1
улыбка,улыбка,0,1
игравшая,игравшая,0,1
постоянно,постоянно,0,1
лице,лице,0,3
анны,анны,0,1
павловны,павловны,0,1
хотя,хотя,0,2
шла,шла,0,1
отжившим,отжившим,0,1
чертам,чертам,0,1
выражала,выражала,0,1
избалованных,избалованных,0,1
детей,детей,0,3
постоянное,постоянное,0,1
сознание,сознание,0,1
своего,своего,0,1
милого,милого,0,3
недостатка,недостатка,0,1
от,от,0,1
которого,которого,0,1
хочет,хочет,0,5
может,может,0,6
находит,находит,0,1
нужным,нужным,0,1
исправляться,исправляться,0,1
середине,середине,0,1
разговора,разговора,0,1
про,про,0,3
политические,политические,0,2
действия,действия,0,1
разгорячилась,разгорячилась,0,1
ах,ах,0,1
говорите,говорите,0,1
австрию,австрию,0,1
ничего,ничего,0,5
понимаю,понимаю,0,1
австрия,австрия,0,1
никогда,никогда,0,2
хотела,хотела,0,2
войны,войны,0,1
предает,предает,0,1
нас,нас,0,1
россия,россия,0,1
одна,одна,0,3
должна,должна,0,1
спасительницей,спасительницей,0,1
европы,европы,0,1
наш,наш,0,1
благодетель,благодетель,0,1
знает,знает,0,1
свое,свое,0,2
высокое,высокое,0,1
призвание,призвание,0,2
будет,будет,0,4
верен,верен,0,1
ему,ему,0,2
вот,вот,0,3
одно,одно,0,2
чтò,чтò,0,13
верю,верю,0,3
нашему,нашему,0,1
доброму,доброму,0,1
чудному,чудному,0,1
государю,государю,0,1
предстоит,предстоит,0,1
величайшая,величайшая,0,1
мире,мире,0,1
добродетелен,добродетелен,0,1
хорош,хорош,0,1
бог,бог,0,1
оставит,оставит,0,1
его,его,0,6
исполнит,исполнит,0,1
задавить,задавить,0,1
гидру,гидру,0,1
революции,революции,0,1
которая,которая,0,2
теперь,теперь,0,2
еще,еще,0,3
ужаснее,ужаснее,0,1
убийцы,убийцы,0,1
злодея,злодея,0,1
мы,мы,0,1
