token,token_lower,chapter_idx,count
i,i,0,1
в,в,0,50
начале,начале,0,1
1806,1806,0,1
го,го,0,2
года,года,0,2
николай,николай,0,2
ростов,ростов,0,25
вернулся,вернулся,0,2
отпуск,отпуск,0,1
денисов,денисов,0,16
ехал,ехал,0,1
тоже,тоже,0,4
домой,домой,0,1
воронеж,воронеж,0,1
и,и,0,106
уговорил,уговорил,0,1
его,его,0,33
ехать,ехать,0,1
с,с,0,22
собой,собой,0,1
до,до,0,4
москвы,москвы,0,1
остановиться,остановиться,0,1
у,у,0,9
них,них,0,4
доме,доме,0,1
на,на,0,37
предпоследней,предпоследней,0,1
станции,станции,0,1
встретив,встретив,0,1
товарища,товарища,0,2
выпил,выпил,0,1
ним,ним,0,3
три,три,0,3
бутылки,бутылки,0,1
вина,вина,0,1
подъезжая,подъезжая,0,1
к,к,0,17
москве,москве,0,2
несмотря,несмотря,0,1
ухабы,ухабы,0,1
дороги,дороги,0,2
не,не,0,51
просыпался,просыпался,0,1
лежа,лежа,0,1
дне,дне,0,1
перекладных,перекладных,0,1
саней,саней,0,3
подле,подле,0,1
ростова,ростова,0,2
который,который,0,6
по,по,0,2
мере,мере,0,1
приближения,приближения,0,1
приходил,приходил,0,1
всё,всё,0,16
более,более,0,2
нетерпение,нетерпение,0,1
скоро,скоро,0,3
ли,ли,0,8
о,о,0,6
эти,эти,0,2
несносные,несносные,0,1
улицы,улицы,0,1
лавки,лавки,0,1
калачи,калачи,0,1
фонари,фонари,0,1
извозчики,извозчики,0,1
думал,думал,0,2
когда,когда,0,5
уже,уже,0,5
они,они,0,7
записали,записали,0,1
свои,свои,0,2
отпуски,отпуски,0,1
заставе,заставе,0,1
въехали,въехали,0,1
москву,москву,0,1
приехали,приехали,0,1
спит,спит,0,1
говорил,говорил,0,4
он,он,0,40
всем,всем,0,2
телом,телом,0,1
подаваясь,подаваясь,0,1
вперед,вперед,0,1
как,как,0,30
будто,будто,0,3
этим,этим,0,1
положением,положением,0,1
надеялся,надеялся,0,1
ускорить,ускорить,0,1
движение,движение,0,1
откликался,откликался,0,1
вот,вот,0,13
угол,угол,0,1
перекресток,перекресток,0,1
где,где,0,3
захар,захар,0,2
извозчик,извозчик,0,1
стоит,стоит,0,1
та,та,0,4
же,же,0,21
лошадь,лошадь,0,1
лавочка,лавочка,0,1
пряники,пряники,0,1
покупали,покупали,0,1
ну,ну,0,13
какому,какому,0,1
дому,дому,0,1
то,то,0,20
спросил,спросил,0,6
ямщик,ямщик,0,1
да,да,0,13
вон,вон,0,1
конце,конце,0,1
большому,большому,0,1
ты,ты,0,18
видишь,видишь,0,1
это,это,0,24
наш,наш,0,3
дом,дом,0,3
ведь,ведь,0,6
сейчас,сейчас,0,4
приедем,приедем,0,1
поднял,поднял,0,2
голову,голову,0,3
откашлялся,откашлялся,0,1
ничего,ничего,0,1
ответил,ответил,0,1
дмитрий,дмитрий,0,1
обратился,обратился,0,2
лакею,лакею,0,1
облучке,облучке,0,1
нас,нас,0,1
огонь,огонь,0,1
так,так,0,19
точно,точно,0,1
папеньки,папеньки,0,1
кабинете,кабинете,0,1
светится,светится,0,1
еще,еще,0,14
ложились,ложились,0,1
а,а,0,13
думаешь,думаешь,0,1
смотри,смотри,0,1
забудь,забудь,0,2
тотчас,тотчас,0,2
достань,достань,0,1
мне,мне,0,2
новую,новую,0,1
венгерку,венгерку,0,1
прибавил,прибавил,0,2
ощупывая,ощупывая,0,1
новые,новые,0,1
усы,усы,0,2
пошел,пошел,0,3
кричал,кричал,0,3
ямщику,ямщику,0,1
проснись,проснись,0,1
вася,вася,0,1
обращался,обращался,0,1
денисову,денисову,0,3
опять,опять,0,5
опустил,опустил,0,1
целковых,целковых,0,1
водку,водку,0,1
закричал,закричал,0,1
сани,сани,0,2
были,были,0,5
за,за,0,14
дома,дома,0,2
от,от,0,7
подъезда,подъезда,0,1
ему,ему,0,11
казалось,казалось,0,2
что,что,0,32
лошади,лошади,0,1
двигаются,двигаются,0,1
наконец,наконец,0,1
взяли,взяли,0,1
вправо,вправо,0,1
подъезду,подъезду,0,1
над,над,0,1
головой,головой,0,1
своей,своей,0,5
увидал,увидал,0,1
знакомый,знакомый,0,1
карниз,карниз,0,1
отбитою,отбитою,0,1
штукатуркой,штукатуркой,0,1
крыльцо,крыльцо,0,1
тротуарный,тротуарный,0,1
столб,столб,0,1
ходу,ходу,0,1
выскочил,выскочил,0,1
из,из,0,8
побежал,побежал,0,3
сени,сени,0,1
также,также,0,2
стоял,стоял,0,2
неподвижно,неподвижно,0,1
нерадушно,нерадушно,0,1
дела,дела,0,1
было,было,0,10
того,того,0,3
кто,кто,0,5
приехал,приехал,0,1
него,него,0,12
сенях,сенях,0,1
никого,никого,0,1
боже,боже,0,1
мой,мой,0,6
благополучно,благополучно,0,2
подумал,подумал,0,2
замиранием,замиранием,0,1
сердца,сердца,0,1
останавливаясь,останавливаясь,0,1
минуту,минуту,0,6
пускаясь,пускаясь,0,1
бежать,бежать,0,1
дальше,дальше,0,1
сеням,сеням,0,1
знакомым,знакомым,0,1
покривившимся,покривившимся,0,1
ступеням,ступеням,0,1
дверная,дверная,0,1
ручка,ручка,0,1
замка,замка,0,1
нечистоту,нечистоту,0,1
которой,которой,0,1
сердилась,сердилась,0,1
графиня,графиня,0,4
слабо,слабо,0,1
отворялась,отворялась,0,1
передней,передней,0,1
горела,горела,0,1
одна,одна,0,1
сальная,сальная,0,1
свеча,свеча,0,1
старик,старик,0,1
михайло,михайло,0,1
спал,спал,0,1
ларе,ларе,0,1
прокофий,прокофий,0,2
выездной,выездной,0,1
лакей,лакей,0,1
тот,тот,0,3
был,был,0,2
силен,силен,0,1
задок,задок,0,1
поднимал,поднимал,0,1
карету,карету,0,1
сидел,сидел,0,1
вязал,вязал,0,1
покромок,покромок,0,1
лапти,лапти,0,1
взглянул,взглянул,0,2
отворившуюся,отворившуюся,0,1
дверь,дверь,0,4
равнодушное,равнодушное,0,1
сонное,сонное,0,1
выражение,выражение,0,1
вдруг,вдруг,0,2
преобразилось,преобразилось,0,1
восторженно,восторженно,0,2
испуганное,испуганное,0,1
батюшки,батюшки,0,1
светы,светы,0,1
граф,граф,0,3
молодой,молодой,0,1
вскрикнул,вскрикнул,0,1
узнав,узнав,0,1
молодого,молодого,0,3
барина,барина,0,3
ж,ж,0,1
голубчик,голубчик,0,2
трясясь,трясясь,0,1
волненья,волненья,0,1
бросился,бросился,0,1
двери,двери,0,4
гостиную,гостиную,0,2
вероятно,вероятно,0,1
для,для,0,7
чтоб,чтоб,0,1
объявить,объявить,0,1
но,но,0,17
видно,видно,0,2
