token,token_lower,chapter_idx,count
i,i,0,1
в,в,0,20
петербурге,петербурге,0,3
высших,высших,0,2
кругах,кругах,0,2
с,с,0,5
бòльшим,бòльшим,0,1
жаром,жаром,0,1
чем,чем,0,2
когда,когда,0,1
нибудь,нибудь,0,2
шла,шла,0,2
сложная,сложная,0,1
борьба,борьба,0,1
партий,партий,0,1
румянцева,румянцева,0,1
французов,французов,0,1
марии,марии,0,1
феодоровны,феодоровны,0,1
цесаревича,цесаревича,0,1
и,и,0,34
других,других,0,1
заглушаемая,заглушаемая,0,1
как,как,0,13
всегда,всегда,0,1
трубением,трубением,0,1
придворных,придворных,0,1
трутней,трутней,0,1
но,но,0,5
спокойная,спокойная,0,1
роскошная,роскошная,0,1
озабоченная,озабоченная,0,2
только,только,0,3
призраками,призраками,0,1
отражениями,отражениями,0,1
жизни,жизни,0,2
петербургская,петербургская,0,1
жизнь,жизнь,0,1
по,по,0,1
старому,старому,0,1
из,из,0,2
за,за,0,3
хода,хода,0,1
этой,этой,0,2
надо,надо,0,2
было,было,0,7
делать,делать,0,2
большие,большие,0,1
усилия,усилия,0,2
чтобы,чтобы,0,4
сознавать,сознавать,0,1
опасность,опасность,0,1
то,то,0,5
трудное,трудное,0,1
положение,положение,0,1
котором,котором,0,1
находился,находился,0,1
русский,русский,0,1
народ,народ,0,1
те,те,0,3
же,же,0,9
были,были,0,3
выходы,выходы,0,1
балы,балы,0,1
тот,тот,0,1
французский,французский,0,2
театр,театр,0,2
интересы,интересы,0,2
дворов,дворов,0,1
службы,службы,0,1
интриги,интриги,0,1
самых,самых,0,1
делались,делались,0,1
для,для,0,3
того,того,0,3
напоминать,напоминать,0,1
трудность,трудность,0,1
настоящего,настоящего,0,1
положения,положения,0,1
рассказывалось,рассказывалось,0,1
шопотом,шопотом,0,2
о,о,0,6
том,том,0,4
противоположно,противоположно,0,1
одна,одна,0,1
другой,другой,0,1
поступили,поступили,0,1
столь,столь,0,1
трудных,трудных,0,1
обстоятельствах,обстоятельствах,0,1
обе,обе,0,1
императрицы,императрицы,0,2
императрица,императрица,0,2
мария,мария,0,1
феодоровна,феодоровна,0,1
благосостоянием,благосостоянием,0,1
подведомственных,подведомственных,0,1
ей,ей,0,3
богоугодных,богоугодных,0,1
воспитательных,воспитательных,0,1
учреждений,учреждений,0,1
сделала,сделала,0,1
распоряжение,распоряжение,0,1
об,об,0,4
отправке,отправке,0,1
всех,всех,0,2
институтов,институтов,0,1
казань,казань,0,1
вещи,вещи,0,1
этих,этих,0,1
заведений,заведений,0,1
уже,уже,0,4
уложены,уложены,0,1
елизавета,елизавета,0,1
алексеевна,алексеевна,0,1
на,на,0,11
вопрос,вопрос,0,1
какие,какие,0,1
угодно,угодно,0,1
сделать,сделать,0,1
распоряжения,распоряжения,0,1
свойственным,свойственным,0,1
русским,русским,0,1
патриотизмом,патриотизмом,0,1
изволила,изволила,0,2
ответить,ответить,0,1
что,что,0,13
государственных,государственных,0,1
учреждениях,учреждениях,0,1
она,она,0,9
не,не,0,14
может,может,0,3
распоряжений,распоряжений,0,1
так,так,0,3
это,это,0,5
касается,касается,0,1
государя,государя,0,2
чтò,чтò,0,3
лично,лично,0,1
зависит,зависит,0,1
от,от,0,4
нее,нее,0,1
сказать,сказать,0,4
последняя,последняя,0,1
выедет,выедет,0,1
петербурга,петербурга,0,1
у,у,0,2
анны,анны,0,4
павловны,павловны,0,4
26,26,0,1
го,го,0,1
августа,августа,0,1
самый,самый,0,1
день,день,0,3
бородинского,бородинского,0,1
сражения,сражения,0,2
был,был,0,2
вечер,вечер,0,1
цветком,цветком,0,1
которого,которого,0,2
должно,должно,0,3
быть,быть,0,3
чтение,чтение,0,2
письма,письма,0,1
преосвященного,преосвященного,0,1
написанного,написанного,0,1
при,при,0,2
посылке,посылке,0,1
государю,государю,0,1
образа,образа,0,1
преподобного,преподобного,0,2
угодника,угодника,0,1
сергия,сергия,0,2
письмо,письмо,0,1
почиталось,почиталось,0,1
образцом,образцом,0,1
патриотического,патриотического,0,1
духовного,духовного,0,1
красноречия,красноречия,0,1
прочесть,прочесть,0,1
его,его,0,4
должен,должен,0,1
сам,сам,0,1
князь,князь,0,7
василий,василий,0,5
славившийся,славившийся,0,1
своим,своим,0,1
искусством,искусством,0,1
чтения,чтения,0,2
он,он,0,8
читывал,читывал,0,1
искусство,искусство,0,1
считалось,считалось,0,1
громко,громко,0,2
певуче,певуче,0,1
между,между,0,1
отчаянным,отчаянным,0,1
завыванием,завыванием,0,1
нежным,нежным,0,1
ропотом,ропотом,0,1
переливать,переливать,0,1
слова,слова,0,6
совершенно,совершенно,0,2
независимо,независимо,0,1
их,их,0,2
значения,значения,0,1
случайно,случайно,0,1
одно,одно,0,1
слово,слово,0,2
попадало,попадало,0,1
завывание,завывание,0,1
другие,другие,0,2
ропот,ропот,0,1
все,все,0,4
вечера,вечера,0,1
имело,имело,0,1
политическое,политическое,0,1
значение,значение,0,1
этом,этом,0,2
вечере,вечере,0,1
несколько,несколько,0,3
важных,важных,0,1
лиц,лиц,0,1
которых,которых,0,2
устыдить,устыдить,0,1
поездки,поездки,0,1
во,во,0,4
воодушевить,воодушевить,0,1
к,к,0,6
патриотическому,патриотическому,0,1
настроению,настроению,0,1
довольно,довольно,0,1
много,много,0,1
собралось,собралось,0,1
народа,народа,0,1
анна,анна,0,11
павловна,павловна,0,11
еще,еще,0,3
видела,видела,0,1
гостиной,гостиной,0,1
тех,тех,0,1
кого,кого,0,1
нужно,нужно,0,1
потому,потому,0,1
приступая,приступая,0,1
чтению,чтению,0,1
заводила,заводила,0,1
общие,общие,0,1
разговоры,разговоры,0,1
новостью,новостью,0,1
дня,дня,0,1
этот,этот,0,1
была,была,0,2
болезнь,болезнь,0,2
графини,графини,0,3
безуховой,безуховой,0,1
графиня,графиня,0,1
дней,дней,0,1
